Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014015,2024,06,28,23.9,1,N
IDCJAC0011,014015,2024,06,29,23.5,1,N
IDCJAC0011,014015,2024,06,30,23.7,1,N
IDCJAC0011,014015,2024,07,01,22.8,1,N
IDCJAC0011,014015,2024,07,02,22.3,1,N
IDCJAC0011,014015,2024,07,03,20.0,1,N
IDCJAC0011,014015,2024,07,04,19.4,1,N
IDCJAC0011,014015,2024,07,05,17.6,1,N
IDCJAC0011,014015,2024,07,06,18.9,1,N
IDCJAC0011,014015,2024,07,07,22.4,1,N
IDCJAC0011,014015,2024,07,08,22.0,1,N
IDCJAC0011,014015,2024,07,09,22.0,1,N
IDCJAC0011,014015,2024,07,10,20.7,1,N
IDCJAC0011,014015,2024,07,11,19.9,1,N
IDCJAC0011,014015,2024,07,12,18.4,1,N
IDCJAC0011,014015,2024,07,13,18.8,1,N
IDCJAC0011,014015,2024,07,14,19.0,1,N
IDCJAC0011,014015,2024,07,15,18.6,1,N
IDCJAC0011,014015,2024,07,16,19.1,1,N
IDCJAC0011,014015,2024,07,17,18.2,1,N
IDCJAC0011,014015,2024,07,18,14.8,1,N
IDCJAC0011,014015,2024,07,19,15.2,1,N
IDCJAC0011,014015,2024,07,20,15.4,1,N
IDCJAC0011,014015,2024,07,21,17.3,1,N
IDCJAC0011,014015,2024,07,22,17.9,1,N
IDCJAC0011,014015,2024,07,23,18.3,1,N
IDCJAC0011,014015,2024,07,24,19.2,1,N
IDCJAC0011,014015,2024,07,25,22.7,1,N
IDCJAC0011,014015,2024,07,26,23.7,1,N
IDCJAC0011,014015,2024,07,27,24.9,1,N
IDCJAC0011,014015,2024,07,28,24.2,1,N
IDCJAC0011,014015,2024,07,29,23.6,1,N
IDCJAC0011,014015,2024,07,30,21.5,1,N
IDCJAC0011,014015,2024,07,31,22.5,1,N
IDCJAC0011,014015,2024,08,01,21.2,1,N
IDCJAC0011,014015,2024,08,02,21.4,1,N
IDCJAC0011,014015,2024,08,03,20.1,1,N
IDCJAC0011,014015,2024,08,04,21.3,1,N
IDCJAC0011,014015,2024,08,05,21.5,1,N
IDCJAC0011,014015,2024,08,06,22.3,1,N
IDCJAC0011,014015,2024,08,07,22.1,1,N
IDCJAC0011,014015,2024,08,08,20.7,1,N
IDCJAC0011,014015,2024,08,09,19.0,1,N
IDCJAC0011,014015,2024,08,10,19.3,1,N
IDCJAC0011,014015,2024,08,11,19.7,1,N
IDCJAC0011,014015,2024,08,12,19.5,1,N
IDCJAC0011,014015,2024,08,13,18.5,1,N
IDCJAC0011,014015,2024,08,14,20.2,1,N
IDCJAC0011,014015,2024,08,15,20.4,1,N
IDCJAC0011,014015,2024,08,16,21.4,1,N
IDCJAC0011,014015,2024,08,17,21.1,1,N
IDCJAC0011,014015,2024,08,18,21.2,1,N
IDCJAC0011,014015,2024,08,19,23.1,1,N
IDCJAC0011,014015,2024,08,20,22.3,1,N
IDCJAC0011,014015,2024,08,21,23.0,1,N
IDCJAC0011,014015,2024,08,22,23.2,1,N
IDCJAC0011,014015,2024,08,23,24.3,1,N
IDCJAC0011,014015,2024,08,24,23.4,1,N
IDCJAC0011,014015,2024,08,25,24.6,1,N
IDCJAC0011,014015,2024,08,26,22.9,1,N
IDCJAC0011,014015,2024,08,27,22.3,1,N
IDCJAC0011,014015,2024,08,28,22.4,1,N
IDCJAC0011,014015,2024,08,29,22.2,1,N
IDCJAC0011,014015,2024,08,30,23.0,1,N
IDCJAC0011,014015,2024,08,31,23.4,1,N
IDCJAC0011,014015,2024,09,01,23.4,1,N
IDCJAC0011,014015,2024,09,02,24.1,1,N
IDCJAC0011,014015,2024,09,03,23.1,1,N
IDCJAC0011,014015,2024,09,04,24.9,1,N
IDCJAC0011,014015,2024,09,05,24.7,1,N
IDCJAC0011,014015,2024,09,06,24.4,1,N
IDCJAC0011,014015,2024,09,07,24.4,1,N
IDCJAC0011,014015,2024,09,08,24.1,1,N
IDCJAC0011,014015,2024,09,09,23.4,1,N
IDCJAC0011,014015,2024,09,10,23.0,1,N
IDCJAC0011,014015,2024,09,11,23.9,1,N
IDCJAC0011,014015,2024,09,12,23.0,1,N
IDCJAC0011,014015,2024,09,13,22.6,1,N
IDCJAC0011,014015,2024,09,14,22.9,1,N
IDCJAC0011,014015,2024,09,15,23.8,1,N
IDCJAC0011,014015,2024,09,16,24.2,1,N
IDCJAC0011,014015,2024,09,17,22.7,1,N
IDCJAC0011,014015,2024,09,18,21.2,1,N
IDCJAC0011,014015,2024,09,19,25.8,1,N
IDCJAC0011,014015,2024,09,20,25.7,1,N
IDCJAC0011,014015,2024,09,21,26.3,1,N
IDCJAC0011,014015,2024,09,22,25.3,1,N
IDCJAC0011,014015,2024,09,23,24.4,1,N
IDCJAC0011,014015,2024,09,24,25.4,1,N
IDCJAC0011,014015,2024,09,25,24.7,1,N
IDCJAC0011,014015,2024,09,26,25.1,1,N
