Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,014015,2024,06,07,28.1,1,N
IDCJAC0010,014015,2024,06,08,28.0,1,N
IDCJAC0010,014015,2024,06,09,29.3,1,N
IDCJAC0010,014015,2024,06,10,30.9,1,N
IDCJAC0010,014015,2024,06,11,31.5,1,N
IDCJAC0010,014015,2024,06,12,32.4,1,N
IDCJAC0010,014015,2024,06,13,32.7,1,N
IDCJAC0010,014015,2024,06,14,32.9,1,N
IDCJAC0010,014015,2024,06,15,32.7,1,N
IDCJAC0010,014015,2024,06,16,32.8,1,N
IDCJAC0010,014015,2024,06,17,32.9,1,N
IDCJAC0010,014015,2024,06,18,32.1,1,N
IDCJAC0010,014015,2024,06,19,31.9,1,N
IDCJAC0010,014015,2024,06,20,32.4,1,N
IDCJAC0010,014015,2024,06,21,32.4,1,N
IDCJAC0010,014015,2024,06,22,31.1,1,N
IDCJAC0010,014015,2024,06,23,31.3,1,N
IDCJAC0010,014015,2024,06,24,31.7,1,N
IDCJAC0010,014015,2024,06,25,31.0,1,N
IDCJAC0010,014015,2024,06,26,31.3,1,N
IDCJAC0010,014015,2024,06,27,33.2,1,N
IDCJAC0010,014015,2024,06,28,33.5,1,N
IDCJAC0010,014015,2024,06,29,33.3,1,N
IDCJAC0010,014015,2024,06,30,33.8,1,N
IDCJAC0010,014015,2024,07,01,32.7,1,N
IDCJAC0010,014015,2024,07,02,32.6,1,N
IDCJAC0010,014015,2024,07,03,31.7,1,N
IDCJAC0010,014015,2024,07,04,29.7,1,N
IDCJAC0010,014015,2024,07,05,30.3,1,N
IDCJAC0010,014015,2024,07,06,31.4,1,N
IDCJAC0010,014015,2024,07,07,33.6,1,N
IDCJAC0010,014015,2024,07,08,33.1,1,N
IDCJAC0010,014015,2024,07,09,33.6,1,N
IDCJAC0010,014015,2024,07,10,33.8,1,N
IDCJAC0010,014015,2024,07,11,33.1,1,N
IDCJAC0010,014015,2024,07,12,31.6,1,N
IDCJAC0010,014015,2024,07,13,31.8,1,N
IDCJAC0010,014015,2024,07,14,29.9,1,N
IDCJAC0010,014015,2024,07,15,30.4,1,N
IDCJAC0010,014015,2024,07,16,30.1,1,N
IDCJAC0010,014015,2024,07,17,28.7,1,N
IDCJAC0010,014015,2024,07,18,26.9,1,N
IDCJAC0010,014015,2024,07,19,27.1,1,N
IDCJAC0010,014015,2024,07,20,29.8,1,N
IDCJAC0010,014015,2024,07,21,31.0,1,N
IDCJAC0010,014015,2024,07,22,30.7,1,N
IDCJAC0010,014015,2024,07,23,30.8,1,N
IDCJAC0010,014015,2024,07,24,31.3,1,N
IDCJAC0010,014015,2024,07,25,32.2,1,N
IDCJAC0010,014015,2024,07,26,31.9,1,N
IDCJAC0010,014015,2024,07,27,30.2,1,N
IDCJAC0010,014015,2024,07,28,32.6,1,N
IDCJAC0010,014015,2024,07,29,32.4,1,N
IDCJAC0010,014015,2024,07,30,32.3,1,N
IDCJAC0010,014015,2024,07,31,33.7,1,N
IDCJAC0010,014015,2024,08,01,32.5,1,N
IDCJAC0010,014015,2024,08,02,33.4,1,N
IDCJAC0010,014015,2024,08,03,31.9,1,N
IDCJAC0010,014015,2024,08,04,31.7,1,N
IDCJAC0010,014015,2024,08,05,32.7,1,N
IDCJAC0010,014015,2024,08,06,33.7,1,N
IDCJAC0010,014015,2024,08,07,35.1,1,N
IDCJAC0010,014015,2024,08,08,34.2,1,N
IDCJAC0010,014015,2024,08,09,32.3,1,N
IDCJAC0010,014015,2024,08,10,33.2,1,N
IDCJAC0010,014015,2024,08,11,33.7,1,N
IDCJAC0010,014015,2024,08,12,33.5,1,N
IDCJAC0010,014015,2024,08,13,32.3,1,N
IDCJAC0010,014015,2024,08,14,30.4,1,N
IDCJAC0010,014015,2024,08,15,30.5,1,N
IDCJAC0010,014015,2024,08,16,31.6,1,N
IDCJAC0010,014015,2024,08,17,31.8,1,N
IDCJAC0010,014015,2024,08,18,32.3,1,N
IDCJAC0010,014015,2024,08,19,32.8,1,N
IDCJAC0010,014015,2024,08,20,34.6,1,N
IDCJAC0010,014015,2024,08,21,35.2,1,N
IDCJAC0010,014015,2024,08,22,32.9,1,N
IDCJAC0010,014015,2024,08,23,35.2,1,N
IDCJAC0010,014015,2024,08,24,35.6,1,N
IDCJAC0010,014015,2024,08,25,33.5,1,N
IDCJAC0010,014015,2024,08,26,33.4,1,N
IDCJAC0010,014015,2024,08,27,33.3,1,N
IDCJAC0010,014015,2024,08,28,34.2,1,N
IDCJAC0010,014015,2024,08,29,34.4,1,N
IDCJAC0010,014015,2024,08,30,32.2,1,N
IDCJAC0010,014015,2024,08,31,31.7,1,N
IDCJAC0010,014015,2024,09,01,33.1,1,N
IDCJAC0010,014015,2024,09,02,35.3,1,N
IDCJAC0010,014015,2024,09,03,34.1,1,N
IDCJAC0010,014015,2024,09,04,34.6,1,N
IDCJAC0010,014015,2024,09,05,32.9,1,N
IDCJAC0010,014015,2024,09,06,34.1,1,N
IDCJAC0010,014015,2024,09,07,35.1,1,N
IDCJAC0010,014015,2024,09,08,35.6,1,N
IDCJAC0010,014015,2024,09,09,35.8,1,N
IDCJAC0010,014015,2024,09,10,36.7,1,N
IDCJAC0010,014015,2024,09,11,35.0,1,N
IDCJAC0010,014015,2024,09,12,36.3,1,N
IDCJAC0010,014015,2024,09,13,36.5,1,N
IDCJAC0010,014015,2024,09,14,36.4,1,N
IDCJAC0010,014015,2024,09,15,32.8,1,N
IDCJAC0010,014015,2024,09,16,34.8,1,N
IDCJAC0010,014015,2024,09,17,26.8,1,N
IDCJAC0010,014015,2024,09,18,32.5,1,N
IDCJAC0010,014015,2024,09,19,33.7,1,N
IDCJAC0010,014015,2024,09,20,33.8,1,N
IDCJAC0010,014015,2024,09,21,34.1,1,N
IDCJAC0010,014015,2024,09,22,35.4,1,N
IDCJAC0010,014015,2024,09,23,34.1,1,N
IDCJAC0010,014015,2024,09,24,34.1,1,N
IDCJAC0010,014015,2024,09,25,34.4,1,N
IDCJAC0010,014015,2024,09,26,34.9,1,N
IDCJAC0010,014015,2024,09,27,33.2,1,N
IDCJAC0010,014015,2024,09,28,32.5,1,N
IDCJAC0010,014015,2024,09,29,34.2,1,N
IDCJAC0010,014015,2024,09,30,35.3,1,N
IDCJAC0010,014015,2024,10,01,36.9,1,N
IDCJAC0010,014015,2024,10,02,35.1,1,N
IDCJAC0010,014015,2024,10,03,34.2,1,N
IDCJAC0010,014015,2024,10,04,36.3,1,N
IDCJAC0010,014015,2024,10,05,34.1,1,N
IDCJAC0010,014015,2024,10,06,34.3,1,N
IDCJAC0010,014015,2024,10,07,35.2,1,N
IDCJAC0010,014015,2024,10,08,33.3,1,N
IDCJAC0010,014015,2024,10,09,34.9,1,N
IDCJAC0010,014015,2024,10,10,35.3,1,N
IDCJAC0010,014015,2024,10,11,33.5,1,N
IDCJAC0010,014015,2024,10,12,35.6,1,N
IDCJAC0010,014015,2024,10,13,35.8,1,N
IDCJAC0010,014015,2024,10,14,34.1,1,N
IDCJAC0010,014015,2024,10,15,33.1,1,N
IDCJAC0010,014015,2024,10,16,32.5,1,N
IDCJAC0010,014015,2024,10,17,33.7,1,N
IDCJAC0010,014015,2024,10,18,34.1,1,N
IDCJAC0010,014015,2024,10,19,34.1,1,N
IDCJAC0010,014015,2024,10,20,34.7,1,N
IDCJAC0010,014015,2024,10,21,36.3,1,N
IDCJAC0010,014015,2024,10,22,35.6,1,N
IDCJAC0010,014015,2024,10,23,34.8,1,N
IDCJAC0010,014015,2024,10,24,35.3,1,N
IDCJAC0010,014015,2024,10,25,35.5,1,N
IDCJAC0010,014015,2024,10,26,35.9,1,N
IDCJAC0010,014015,2024,10,27,35.2,1,N
IDCJAC0010,014015,2024,10,28,35.4,1,N
IDCJAC0010,014015,2024,10,29,36.5,1,N
IDCJAC0010,014015,2024,10,30,34.2,1,N
IDCJAC0010,014015,2024,10,31,29.1,1,N
IDCJAC0010,014015,2024,11,01,31.6,1,N
IDCJAC0010,014015,2024,11,02,33.8,1,N
IDCJAC0010,014015,2024,11,03,34.6,1,N
IDCJAC0010,014015,2024,11,04,34.2,1,N
IDCJAC0010,014015,2024,11,05,35.2,1,N
IDCJAC0010,014015,2024,11,06,34.9,1,N
IDCJAC0010,014015,2024,11,07,34.4,1,N
IDCJAC0010,014015,2024,11,08,34.7,1,N
IDCJAC0010,014015,2024,11,09,34.3,1,N
IDCJAC0010,014015,2024,11,10,34.0,1,N
IDCJAC0010,014015,2024,11,11,34.8,1,N
IDCJAC0010,014015,2024,11,12,35.7,1,N
IDCJAC0010,014015,2024,11,13,35.2,1,N
IDCJAC0010,014015,2024,11,14,34.6,1,N
IDCJAC0010,014015,2024,11,15,36.3,1,N
IDCJAC0010,014015,2024,11,16,34.7,1,N
IDCJAC0010,014015,2024,11,17,33.9,1,N
IDCJAC0010,014015,2024,11,18,32.8,1,N
IDCJAC0010,014015,2024,11,19,32.1,1,N
IDCJAC0010,014015,2024,11,20,34.1,1,N
IDCJAC0010,014015,2024,11,21,32.8,1,N
IDCJAC0010,014015,2024,11,22,33.5,1,N
IDCJAC0010,014015,2024,11,23,33.0,1,N
IDCJAC0010,014015,2024,11,24,32.0,1,N
IDCJAC0010,014015,2024,11,25,33.8,1,N
IDCJAC0010,014015,2024,11,26,32.1,1,N
IDCJAC0010,014015,2024,11,27,33.5,1,N
IDCJAC0010,014015,2024,11,28,31.3,1,N
IDCJAC0010,014015,2024,11,29,33.3,1,N
IDCJAC0010,014015,2024,11,30,33.3,1,N
IDCJAC0010,014015,2024,12,01,34.0,1,N
IDCJAC0010,014015,2024,12,02,33.4,1,N
IDCJAC0010,014015,2024,12,03,31.8,1,N
IDCJAC0010,014015,2024,12,04,35.9,1,N
IDCJAC0010,014015,2024,12,05,33.8,1,N
IDCJAC0010,014015,2024,12,06,33.1,1,N
IDCJAC0010,014015,2024,12,07,30.2,1,N
IDCJAC0010,014015,2024,12,08,33.1,1,N
IDCJAC0010,014015,2024,12,09,33.9,1,N
IDCJAC0010,014015,2024,12,10,32.6,1,N
IDCJAC0010,014015,2024,12,11,34.9,1,N
IDCJAC0010,014015,2024,12,12,33.5,1,N
IDCJAC0010,014015,2024,12,13,34.6,1,N
IDCJAC0010,014015,2024,12,14,31.1,1,N
IDCJAC0010,014015,2024,12,15,34.5,1,N
IDCJAC0010,014015,2024,12,16,35.1,1,N
IDCJAC0010,014015,2024,12,17,35.0,1,N
IDCJAC0010,014015,2024,12,18,33.8,1,N
IDCJAC0010,014015,2024,12,19,31.4,1,N
IDCJAC0010,014015,2024,12,20,33.9,1,N
IDCJAC0010,014015,2024,12,21,34.7,1,N
IDCJAC0010,014015,2024,12,22,35.0,1,N
IDCJAC0010,014015,2024,12,23,32.9,1,N
IDCJAC0010,014015,2024,12,24,34.2,1,N
IDCJAC0010,014015,2024,12,25,31.3,1,N
IDCJAC0010,014015,2024,12,26,33.5,1,N
IDCJAC0010,014015,2024,12,27,34.1,1,N
IDCJAC0010,014015,2024,12,28,34.4,1,N
IDCJAC0010,014015,2024,12,29,34.7,1,N
IDCJAC0010,014015,2024,12,30,35.6,1,N
IDCJAC0010,014015,2024,12,31,33.5,1,N
